productInventoryId	sourcingId	quantity	canceled
1	66	3	
1	97	9	
1	144	5	
1	288	9	
1	324	4	
1	445	1	
1	818	2	
1	870	9	
1	918	7	
1	998	2	
1	1048	7	
1	1135	9	
1	1189	2	
1	1192	9	
1	1387	8	
1	1618	6	
1	1659	3	
1	1698	3	
1	1749	9	
1	1817	5	
1	1857	7	
1	1861	8	
1	1946	9	
1	2183	4	
1	2219	4	
1	2768	5	
1	2880	6	
1	3325	2	
1	3328	9	
1	3329	9	
1	3353	7	
1	3585	5	
1	3678	1	
1	3723	2	
1	3766	6	
1	3896	6	
1	4117	10	
1	4453	5	
1	4488	2	
1	4506	7	
1	4572	5	
1	4595	2	
1	4684	1	
1	4755	8	
1	4824	2	
1	5008	4	
1	5194	10	
1	5729	8	
1	6025	3	
1	6366	6	
1	6418	3	
1	6497	2	
1	6507	2	
1	6945	5	
1	7054	3	
1	7062	6	
1	7587	7	
1	7689	1	
1	7768	4	
1	7801	5	
1	7811	9	
1	7838	2	
1	7844	6	
1	8178	9	
1	8360	9	
1	8565	6	
1	8640	1	
1	8720	4	
1	8829	5	
1	8971	5	
1	9118	8	
1	9170	4	
1	9190	2	
1	9246	9	
1	9254	8	
1	9286	8	
1	9356	2	
1	9502	9	
1	9503	8	
1	9658	3	
1	9997	6	
1	10061	1	
1	10141	3	
1	10142	7	
1	10343	6	
1	10429	9	
1	11084	2	
1	11280	6	
1	11367	7	
1	11709	7	
1	11895	2	
1	12027	7	
1	12031	10	
1	12209	3	
1	12819	5	
1	12974	6	
1	13005	6	
1	13771	3	
1	13772	6	
1	14015	9	
1	14112	6	
1	14188	1	
1	14249	5	
1	14598	1	
1	14600	7	
1	14847	2	
1	14941	2	
1	15056	2	
1	15383	8	
1	15416	2	
1	15498	8	
1	15624	8	
1	15733	6	
1	15747	4	
1	15848	8	
1	15901	5	
1	16036	6	
1	16307	7	
1	16316	5	
1	16359	9	
1	16598	9	
1	16621	6	
1	16884	7	
1	17006	7	
1	17081	7	
1	17121	2	
1	17259	5	
1	17495	10	
1	17698	8	
1	17765	4	
1	18155	2	
1	18395	10	
1	18467	8	
1	18696	4	
1	18706	2	
1	18939	7	
1	19305	3	
1	19337	1	
1	19421	2	
1	19423	9	
1	19642	1	
1	19692	2	
1	19932	5	
1	19940	1	
1	20306	9	
1	20424	4	
1	20517	3	
1	20767	8	
1	20822	9	
1	20905	2	
1	21097	10	
1	21102	3	
1	21159	2	
1	21167	7	
1	21237	9	
1	21629	1	
1	21667	8	
1	21805	8	
1	21875	7	
1	22064	2	
1	22070	5	
1	22121	1	
1	22206	4	
1	22262	9	
1	22407	2	
1	22477	9	
1	22562	2	
1	22685	4	
1	22906	9	
1	23076	5	
1	23078	1	
1	23374	3	
1	23379	3	
1	23492	7	
1	23663	2	
1	23710	3	
1	23791	3	
1	23907	9	
1	23981	2	
1	24108	9	
1	24132	8	
1	24528	3	
1	24600	2	
1	25028	3	
1	25059	8	
1	25172	1	
1	25376	4	
1	25703	4	
1	25761	3	
1	25762	6	
1	25799	6	
1	25923	1	
1	25938	9	
1	25990	3	
1	26420	8	
1	26502	10	
1	26519	9	
1	26820	1	
1	27301	2	
1	27312	8	
1	27508	5	
1	27523	6	
1	27568	1	
1	27921	4	
1	28070	9	
1	28218	8	
1	28246	9	
1	28446	4	
1	28447	9	
1	28571	9	
1	28626	2	
1	29244	2	
1	29256	7	
1	29330	7	
1	29651	4	
1	30092	3	
1	30431	5	
1	30547	7	
1	30852	3	
1	30871	5	
1	30930	3	
1	31045	3	
1	31103	9	
1	31294	3	
1	31492	4	
1	31589	4	
1	31590	4	
1	31767	5	
1	31807	1	
1	31910	1	
1	32020	4	
1	32115	9	
1	32336	6	
1	32519	4	
1	32573	5	
1	32863	10	
1	32971	9	
1	33156	6	
1	33163	9	
1	33496	9	
1	33785	5	
1	33825	6	
1	33849	9	
1	34012	4	
1	34289	6	
1	34349	4	
1	34411	8	
1	34415	8	
1	34631	10	
1	34724	8	
1	34725	5	
1	34753	8	
1	35029	3	
1	35370	7	
1	35540	8	
1	35608	10	
1	35679	6	
1	35826	1	
1	35847	6	
1	35857	5	
1	35867	4	
1	36152	10	
1	36231	6	
1	36324	7	
1	36341	3	
1	37261	7	
1	37312	9	
1	37464	2	
1	37483	2	
1	37709	3	
1	37784	5	
1	37791	9	
1	37922	1	
1	37996	4	
1	38190	3	
1	38382	2	
1	38402	8	
1	38468	5	
1	38481	9	
1	38513	7	
1	38534	8	
1	38591	1	
1	38646	3	
1	38667	9	
1	38863	6	
1	39050	6	
1	39051	2	
1	39149	5	
1	39523	4	
1	39537	7	
1	39715	5	
1	39736	8	
1	40294	7	
1	40328	2	
1	40451	3	
1	40463	8	
1	40608	7	
1	40610	6	
1	40928	5	
1	41237	6	
1	41293	8	
1	41365	7	
1	41502	9	
1	41725	10	
1	41783	7	
1	41977	2	
1	42113	2	
1	42134	6	
1	42162	8	
1	42401	9	
1	42686	3	
1	42692	4	
1	42724	4	
1	43066	9	
1	43097	7	
1	43153	1	
1	43291	7	
1	43351	9	
1	43358	9	
1	43651	9	
1	43667	2	
1	43770	8	
1	43857	7	
1	44100	8	
1	44364	2	
1	44813	1	
1	44967	8	
1	45138	7	
1	45171	6	
1	45192	5	
1	45271	7	
1	45623	2	
1	45723	7	
1	46214	5	
1	46216	5	
1	46395	7	
1	46770	8	
1	46876	7	
1	46945	5	
1	47018	2	
1	47042	9	
1	47063	6	
1	47394	3	
1	47555	8	
1	47676	5	
1	47715	9	
1	47720	2	
1	47727	6	
1	47800	4	
1	47801	5	
1	47861	8	
1	48041	8	
1	48042	7	
1	48191	9	
1	48269	5	
1	48307	4	
1	48316	4	
1	48601	3	
1	48672	5	
1	48775	1	
1	48905	2	
1	49064	4	
1	49269	7	
1	49302	7	
1	49467	5	
1	49747	5	
1	49837	4	
1	50144	3	
1	50335	6	
1	50379	9	
1	50423	4	
1	50427	4	
1	50724	8	
1	50773	2	
1	50825	7	
1	51053	2	
1	51137	5	
1	51423	8	
1	51630	6	
1	51787	4	
1	51848	7	
1	51850	3	
1	51998	7	
1	52041	9	
1	52089	5	
1	52149	9	
1	52568	2	
1	52839	7	
1	52904	6	
1	53305	6	
1	54116	9	
1	54382	8	
1	54684	2	
1	54957	4	
1	55064	5	
1	55095	1	
1	55304	3	
1	55315	3	
1	55345	2	
1	55463	4	
1	55534	2	
1	55605	8	
1	55606	6	
1	55690	5	
1	55783	2	
1	55784	8	
1	55955	6	
1	56009	3	
1	56136	9	
1	56525	8	
1	56568	3	
1	56626	6	
1	56723	3	
1	56930	10	
1	56946	5	
1	57054	10	
1	57275	8	
1	57340	8	
1	57377	9	
1	57448	7	
1	57475	7	
1	57546	8	
1	57827	10	
1	58185	7	
1	58203	5	
1	58210	2	
1	58377	4	
1	58434	2	
1	58487	6	
1	58494	9	
1	58546	8	
1	58910	10	
1	58963	5	
1	59086	7	
1	59094	8	
1	59125	5	
1	59235	9	
1	59255	2	
1	59258	8	
